code,name,sector,business_summary,theme_tags,size_category,notes
7011,三菱重工業,機械,防衛・宇宙・エネルギー関連の総合重工大手,防衛|重工|エネルギー,大型,
7012,川崎重工業,輸送用機器,重工・防衛・水素エネルギー,防衛|重工|エネルギー,大型,
6501,日立製作所,電気機器,社会インフラ・IT・電力システム,DX|インフラ|電力,大型,
8058,三菱商事,卸売業,資源・エネルギーに強い総合商社,商社|資源|エネルギー,大型,
8001,伊藤忠商事,卸売業,生活消費・繊維に強い総合商社,商社|インバウンド,大型,
8306,三菱UFJフィナンシャル・グループ,銀行業,国内最大級のメガバンク,金融,大型,
8035,東京エレクトロン,電気機器,半導体製造装置の大手,半導体|AI,大型,
6857,アドバンテスト,電気機器,半導体検査装置(テスタ)大手,半導体|AI,大型,
6920,レーザーテック,電気機器,半導体マスク検査装置,半導体,大型,
4063,信越化学工業,化学,半導体シリコンウエハ・塩ビ,半導体|資源,大型,
6758,ソニーグループ,電気機器,エンタメ・イメージセンサー・金融,DX|半導体,大型,
6981,村田製作所,電気機器,電子部品(積層セラコン)大手,半導体|AI,大型,
7741,HOYA,精密機器,半導体マスクブランクス・医療,半導体|医療,大型,
9501,東京電力ホールディングス,電気・ガス業,首都圏の電力会社,電力|エネルギー|インフラ,大型,
9984,ソフトバンクグループ,情報・通信業,AI・テクノロジーへの投資会社,AI|DX,大型,
7203,トヨタ自動車,輸送用機器,世界最大級の自動車メーカー,円安メリット,大型,
7267,本田技研工業,輸送用機器,二輪・四輪の自動車メーカー,円安メリット,大型,
5401,日本製鉄,鉄鋼,国内最大手の鉄鋼メーカー,資源,大型,
9101,日本郵船,海運業,大手海運(コンテナ・ドライバルク),物流|資源,大型,
4502,武田薬品工業,医薬品,国内最大手の製薬会社,医療,大型,
6098,リクルートホールディングス,サービス業,人材・販促のプラットフォーム,DX,大型,
4661,オリエンタルランド,サービス業,東京ディズニーリゾート運営,インバウンド|内需ディフェンシブ,大型,
