event_date,run_date,code,name,event_type,price,ref_value,return_pct,notified
2026-08-04,2026-07-29,3159,丸善ＣＨＩホールディングス,expired,380.00,,3.54,morning
2026-08-04,2026-07-29,3946,トーモク,expired,4455.00,,-1.76,morning
2026-08-04,2026-07-29,4373,シンプレクス・ホールディングス,expired,1093.00,,-2.15,morning
2026-08-04,2026-07-29,4733,オービックビジネスコンサルタント,expired,7811.00,,-1.86,morning
2026-08-04,2026-07-29,5911,横河ブリッジホールディングス,expired,2929.00,,-1.65,morning
2026-08-05,2026-07-30,2354,ＹＥ　ＤＩＧＩＴＡＬ,expired,1390.00,,9.28,morning
2026-08-05,2026-07-30,3539,ＪＭホールディングス,expired,1368.00,,-3.80,morning
2026-08-05,2026-07-30,3635,コーエーテクモホールディングス,expired,1567.50,,-5.29,morning
2026-08-05,2026-07-30,5253,カバー,expired,1484.00,,-4.75,morning
2026-08-05,2026-07-30,9605,東映,expired,5890.00,,-6.51,morning
