date,kind,recipients
2026-08-03,Flexカード,1
2026-08-03,補足テキスト,1
2026-08-03,補足テキスト,1
2026-08-04,Flexカード,1
2026-08-04,補足テキスト,1
2026-08-05,Flexカード,1
2026-08-05,補足テキスト,1
2026-08-06,Flexカード,1
2026-08-06,補足テキスト,1
2026-08-07,Flexカード,1
2026-08-07,補足テキスト,1
2026-08-10,Flexカード,1
2026-08-10,補足テキスト,1
2026-08-12,Flexカード,1
2026-08-12,補足テキスト,1
2026-08-13,Flexカード,1
2026-08-13,補足テキスト,1
2026-08-14,Flexカード,1
2026-08-14,補足テキスト,1
2026-08-17,Flexカード,1
2026-08-17,補足テキスト,1
2026-08-18,Flexカード,1
2026-08-18,補足テキスト,1
2026-08-19,Flexカード,1
2026-08-19,補足テキスト,1
2026-08-20,Flexカード,1
2026-08-20,補足テキスト,1
2026-08-21,Flexカード,1
2026-08-21,補足テキスト,1
2026-08-24,Flexカード,1
2026-08-24,補足テキスト,1
2026-08-25,Flexカード,1
2026-08-25,補足テキスト,1
2026-08-26,Flexカード,1
2026-08-26,補足テキスト,1
2026-08-27,Flexカード,1
2026-08-27,補足テキスト,1
2026-08-28,Flexカード,1
2026-08-28,補足テキスト,1
2026-08-31,Flexカード,1
2026-08-31,補足テキスト,1
2026-09-01,Flexカード,1
2026-09-01,補足テキスト,1
2026-09-01,補足テキスト,1
