code,sector,per,updated
1518,その他製品,15.52,2026-08-05
7944,その他製品,53.39,2026-08-05
7976,その他製品,24.81,2026-08-05
5845,その他金融業,17.95,2026-08-04
5232,ガラス・土石製品,16.64,2026-08-10
5285,ガラス・土石製品,6.90,2026-08-04
5121,ゴム製品,13.37,2026-08-10
299A,サービス業,21.51,2026-08-03
4290,サービス業,14.79,2026-08-04
4324,サービス業,10.84,2026-08-03
4661,サービス業,41.95,2026-08-03
4765,サービス業,22.25,2026-08-03
4767,サービス業,12.58,2026-08-10
6062,サービス業,14.62,2026-08-10
6080,サービス業,22.09,2026-08-06
7094,サービス業,21.41,2026-08-10
9621,サービス業,14.86,2026-08-04
166A,不動産業,12.56,2026-08-06
8841,不動産業,36.91,2026-08-10
8995,不動産業,78.75,2026-08-10
4114,化学,21.83,2026-08-10
4116,化学,11.11,2026-08-10
4189,化学,16.08,2026-08-10
4203,化学,23.26,2026-08-10
4206,化学,14.67,2026-08-06
4212,化学,22.87,2026-08-05
4221,化学,12.51,2026-08-05
4228,化学,13.02,2026-08-10
4410,化学,11.78,2026-08-06
4461,化学,23.15,2026-08-10
4928,化学,20.83,2026-08-04
7942,化学,11.83,2026-08-10
7971,化学,8.90,2026-08-05
2760,卸売業,16.14,2026-08-05
2767,卸売業,11.99,2026-08-10
3038,卸売業,18.26,2026-08-04
3054,卸売業,9.87,2026-08-03
3156,卸売業,16.11,2026-08-05
3176,卸売業,13.58,2026-08-07
3355,卸売業,8.68,2026-08-04
7433,卸売業,19.27,2026-08-05
7504,卸売業,24.10,2026-08-07
7575,卸売業,11.56,2026-08-05
8075,卸売業,9.58,2026-08-10
8084,卸売業,18.69,2026-08-10
8150,卸売業,7.55,2026-08-10
8158,卸売業,12.80,2026-08-10
8159,卸売業,12.45,2026-08-10
9888,卸売業,18.59,2026-08-10
9932,卸売業,10.82,2026-08-03
9991,卸売業,9.83,2026-08-04
2664,小売業,24.49,2026-08-06
2673,小売業,7.65,2026-08-06
2782,小売業,18.98,2026-08-10
3159,小売業,11.55,2026-08-10
3191,小売業,14.00,2026-08-04
8005,小売業,23.25,2026-08-10
8163,小売業,41.16,2026-08-10
8218,小売業,12.26,2026-08-05
8254,小売業,54.38,2026-08-10
8276,小売業,14.20,2026-08-10
1879,建設業,8.62,2026-08-10
1899,建設業,11.81,2026-08-06
2121,情報・通信業,12.69,2026-08-10
2317,情報・通信業,13.29,2026-08-03
2354,情報・通信業,20.16,2026-08-03
3371,情報・通信業,11.65,2026-08-04
3625,情報・通信業,9.13,2026-08-04
3635,情報・通信業,12.15,2026-08-03
3762,情報・通信業,17.76,2026-08-10
3778,情報・通信業,540.97,2026-08-03
3793,情報・通信業,61.77,2026-08-05
3845,情報・通信業,121.83,2026-08-10
3964,情報・通信業,22.63,2026-08-10
3997,情報・通信業,273.65,2026-08-03
4052,情報・通信業,26.83,2026-08-05
4434,情報・通信業,22.96,2026-08-03
4475,情報・通信業,32.26,2026-08-10
4674,情報・通信業,13.91,2026-08-10
4722,情報・通信業,17.64,2026-08-06
4813,情報・通信業,24.74,2026-08-10
4847,情報・通信業,18.83,2026-08-06
7844,情報・通信業,14.84,2026-08-04
9605,情報・通信業,16.02,2026-08-03
9697,情報・通信業,29.48,2026-08-04
9889,情報・通信業,19.53,2026-08-04
6237,機械,25.00,2026-08-10
6328,機械,12.26,2026-08-06
6337,機械,38.32,2026-08-06
6349,機械,13.84,2026-08-06
6364,機械,12.69,2026-08-10
6440,機械,11.22,2026-08-07
6454,機械,25.54,2026-08-06
6470,機械,24.88,2026-08-05
368A,精密機器,14.21,2026-08-05
7740,精密機器,19.80,2026-08-06
7774,精密機器,55.03,2026-08-07
3001,繊維製品,16.04,2026-08-06
5834,証券、商品先物取引業,7.64,2026-08-04
8739,証券、商品先物取引業,15.24,2026-08-07
6023,輸送用機器,12.80,2026-08-10
7236,輸送用機器,10.37,2026-08-07
7246,輸送用機器,11.04,2026-08-10
7272,輸送用機器,9.41,2026-08-05
7279,輸送用機器,11.11,2026-08-10
7296,輸送用機器,10.73,2026-08-10
5975,金属製品,8.01,2026-08-10
5480,鉄鋼,10.78,2026-08-10
5602,鉄鋼,15.24,2026-08-10
9507,電気・ガス業,7.19,2026-08-06
9511,電気・ガス業,9.31,2026-08-10
6508,電気機器,20.83,2026-08-10
6517,電気機器,15.24,2026-08-10
6523,電気機器,333.59,2026-08-10
6810,電気機器,12.02,2026-08-10
6932,電気機器,9.96,2026-08-06
2281,食料品,26.48,2026-08-04
