run_date,code,name,rank,score,entry_price,basis_conditions,basis_count,basis_total,ref_upper,ref_lower,ref_hold,status,close_date,close_reason
2026-06-26,2670,エービーシー・マート,1,,2808.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,6844,新電元工業,1,,4050.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,2666,オートウェーブ,2,,171.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,6058,ベクトル,2,,1685.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,2060,フィード・ワン,3,,1228.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,6707,サンケン電気,3,,11055.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,1860,戸田建設,4,,1609.50,,,,,,5,closed,2026-07-02,expired
2026-06-26,2678,アスクル,4,,1229.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,6668,アドテック　プラズマ　テクノロジー,4,,4180.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,287A,黒田グループ,5,,1086.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,2154,オープンアップグループ,5,,1890.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,8233,高島屋,5,,2569.00,,,,,,5,closed,2026-07-02,expired
2026-06-26,3950,ザ・パック,5,,1390.00,,,,,,5,closed,2026-07-02,expired
2026-06-27,6844,新電元工業,1,,4050.00,,,,,,5,closed,2026-07-03,expired
2026-06-27,6058,ベクトル,2,,1685.00,,,,,,5,closed,2026-07-03,expired
2026-06-27,6668,アドテック　プラズマ　テクノロジー,3,,4180.00,,,,,,5,closed,2026-07-03,expired
2026-06-27,3950,ザ・パック,4,,1390.00,,,,,,5,closed,2026-07-03,expired
2026-06-27,6707,サンケン電気,5,,11055.00,,,,,,5,closed,2026-07-03,expired
2026-06-28,6844,新電元工業,1,,4050.00,,,,,,5,closed,2026-07-03,expired
2026-06-28,6058,ベクトル,2,,1685.00,,,,,,5,closed,2026-07-03,expired
2026-06-28,6668,アドテック　プラズマ　テクノロジー,3,,4180.00,,,,,,5,closed,2026-07-03,expired
2026-06-28,3950,ザ・パック,4,,1390.00,,,,,,5,closed,2026-07-03,expired
2026-06-28,6707,サンケン電気,5,,11055.00,,,,,,5,closed,2026-07-03,expired
2026-06-29,6707,サンケン電気,1,,10080.00,,,,,,5,closed,2026-07-03,expired
2026-06-29,6844,新電元工業,2,,3955.00,,,,,,5,closed,2026-07-03,expired
2026-06-29,6058,ベクトル,3,,1747.00,,,,,,5,closed,2026-07-03,expired
2026-06-29,6668,アドテック　プラズマ　テクノロジー,4,,3800.00,,,,,,5,closed,2026-07-03,expired
2026-06-29,3950,ザ・パック,5,,1371.00,,,,,,5,closed,2026-07-03,expired
2026-06-30,6707,サンケン電気,1,,11375.00,,,,,,5,closed,2026-07-06,expired
2026-06-30,6058,ベクトル,2,,1749.00,,,,,,5,closed,2026-07-06,expired
2026-06-30,6306,日工,3,,935.00,,,,,,5,closed,2026-07-06,expired
2026-06-30,6630,ヤーマン,4,,753.00,,,,,,5,closed,2026-07-06,expired
2026-06-30,6276,シリウスビジョン,5,,322.00,,,,,,5,closed,2026-07-06,expired
2026-07-01,9502,中部電力,1,,3118.00,,,,,,5,closed,2026-07-07,expired
2026-07-01,6897,ツインバード,2,,645.00,,,,,,5,closed,2026-07-07,expired
2026-07-01,6630,ヤーマン,3,,720.00,,,,,,5,closed,2026-07-07,expired
2026-07-01,6668,アドテック　プラズマ　テクノロジー,4,,4195.00,,,,,,5,closed,2026-07-07,expired
2026-07-01,8233,高島屋,5,,2445.00,,,,,,5,closed,2026-07-07,expired
2026-07-02,9502,中部電力,1,,3108.00,,,,,,5,closed,2026-07-08,expired
2026-07-02,2121,ＭＩＸＩ,2,,2806.00,,,,,,5,closed,2026-07-08,expired
2026-07-02,6668,アドテック　プラズマ　テクノロジー,3,,3780.00,,,,,,5,closed,2026-07-08,expired
2026-07-02,6897,ツインバード,4,,647.00,,,,,,5,closed,2026-07-08,expired
2026-07-02,6707,サンケン電気,5,,11495.00,,,,,,5,closed,2026-07-08,expired
2026-07-03,9502,中部電力,1,,3174.00,,,,,,5,closed,2026-07-09,expired
2026-07-03,2121,ＭＩＸＩ,2,,2813.00,,,,,,5,closed,2026-07-09,expired
2026-07-03,6707,サンケン電気,3,,11015.00,,,,,,5,closed,2026-07-09,expired
2026-07-03,6668,アドテック　プラズマ　テクノロジー,4,,3730.00,,,,,,5,closed,2026-07-09,expired
2026-07-03,3696,セレス,5,,2096.00,,,,,,5,closed,2026-07-09,expired
2026-07-04,9502,中部電力,1,,3174.00,,,,,,5,closed,2026-07-10,expired
2026-07-04,2121,ＭＩＸＩ,2,,2813.00,,,,,,5,closed,2026-07-10,expired
2026-07-04,3696,セレス,3,,2096.00,,,,,,5,closed,2026-07-10,expired
2026-07-04,6707,サンケン電気,4,,11015.00,,,,,,5,closed,2026-07-10,expired
2026-07-04,6668,アドテック　プラズマ　テクノロジー,5,,3730.00,,,,,,5,closed,2026-07-10,expired
2026-07-06,5463,丸一鋼管,1,,1931.50,,,,,,5,closed,2026-07-10,expired
2026-07-06,9960,東テク,2,,4380.00,,,,,,5,closed,2026-07-10,expired
2026-07-06,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,3,,338.00,,,,,,5,closed,2026-07-10,expired
2026-07-06,8818,京阪神ビルディング,4,,1162.00,,,,,,5,closed,2026-07-10,expired
2026-07-06,8844,コスモスイニシア,5,,1446.00,,,,,,5,closed,2026-07-10,expired
2026-07-07,9960,東テク,1,,4300.00,,,,,,5,closed,2026-07-13,expired
2026-07-07,8818,京阪神ビルディング,2,,1158.00,,,,,,5,closed,2026-07-13,expired
2026-07-07,4493,サイバーセキュリティクラウド,3,,1949.00,,,,,,5,closed,2026-07-13,expired
2026-07-07,8344,山形銀行,4,,3875.00,,,,,,5,closed,2026-07-13,expired
2026-07-07,5463,丸一鋼管,5,,1852.50,,,,,,5,closed,2026-07-13,expired
2026-07-08,3916,デジタル・インフォメーション・テクノロジー,1,,940.00,,,,,,5,closed,2026-07-14,expired
2026-07-08,3436,ＳＵＭＣＯ,2,,4507.00,,,,,,5,closed,2026-07-14,expired
2026-07-08,5258,トランザクション・メディア・ネットワークス,3,,397.00,,,,,,5,closed,2026-07-14,expired
2026-07-08,9960,東テク,4,,4150.00,,,,,,5,closed,2026-07-14,expired
2026-07-08,8818,京阪神ビルディング,5,,1163.00,,,,,,5,closed,2026-07-14,expired
2026-07-09,3916,デジタル・インフォメーション・テクノロジー,1,,921.00,,,,,,5,closed,2026-07-15,expired
2026-07-09,4722,フューチャー,2,,1761.00,,,,,,5,closed,2026-07-15,expired
2026-07-09,8818,京阪神ビルディング,3,,1149.00,,,,,,5,closed,2026-07-15,expired
2026-07-09,8844,コスモスイニシア,4,,1403.00,,,,,,5,closed,2026-07-15,expired
